epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,3949.24,0.75562,0.74181,1.17071,0.73245,0.61197,0.67028,0.43142,1.36637,1.24645,1.75512,0.00035382,0.00035382,0.00035382
154,3975.18,0.74004,0.69335,1.15753,0.7398,0.60081,0.67734,0.43193,1.36903,1.26699,1.76585,0.000346747,0.000346747,0.000346747
155,4001,0.75223,0.74249,1.17798,0.67751,0.62151,0.66766,0.43111,1.35173,1.30231,1.75478,0.000339673,0.000339673,0.000339673
156,4026.83,0.7293,0.705,1.15339,0.69289,0.56673,0.63539,0.41046,1.37619,1.35632,1.80319,0.0003326,0.0003326,0.0003326
157,4052.67,0.73212,0.73024,1.16587,0.71011,0.56411,0.65091,0.4131,1.37924,1.32929,1.76533,0.000325526,0.000325526,0.000325526
158,4078.62,0.75574,0.72311,1.17455,0.71805,0.60748,0.67785,0.43395,1.37356,1.26198,1.76425,0.000318453,0.000318453,0.000318453
159,4104.78,0.74146,0.72687,1.16572,0.73336,0.58999,0.66612,0.43098,1.38174,1.31011,1.75167,0.000311379,0.000311379,0.000311379
160,4130.77,0.72295,0.67479,1.15682,0.71927,0.5514,0.64894,0.42038,1.3852,1.33842,1.75642,0.000304306,0.000304306,0.000304306
161,4156.67,0.73339,0.7051,1.1545,0.72686,0.5593,0.65943,0.42786,1.36297,1.28342,1.73915,0.000297232,0.000297232,0.000297232
162,4182.58,0.75435,0.70394,1.18641,0.76108,0.60162,0.67963,0.43668,1.38097,1.21869,1.78094,0.000290158,0.000290158,0.000290158
163,4208.48,0.73295,0.66973,1.15705,0.7301,0.5978,0.66712,0.4219,1.38287,1.28726,1.78067,0.000283085,0.000283085,0.000283085
164,4234.47,0.70933,0.67886,1.13376,0.71042,0.59789,0.66046,0.4132,1.36165,1.29725,1.75973,0.000276011,0.000276011,0.000276011
165,4260.3,0.68219,0.65889,1.11997,0.81023,0.53596,0.65272,0.4156,1.37072,1.35356,1.75926,0.000268938,0.000268938,0.000268938
